Tiempo de calculo(s)   Tamaño matriz 
0.0203239999973448     2 
7.429999823216349e-05     3 
0.0001131999961216934     5 
7.390000246232376e-05     7 
8.759999764151871e-05     10 
0.00010369999654358253     12 
0.00012719999358523637     15 
0.00018050000653602183     20 
0.0002209999947808683     30 
0.0005727999960072339     40 
0.0003409000055398792     50 
0.0007250000053318217     70 
0.000872299999173265     100 
0.0011844999971799552     150 
0.0014784000013605691     200 
0.002118299998983275     300 
0.004978800003300421     500 
0.009659300005296245     750 
0.010810300002049189     1000 
0.06043579999823123     1800 
0.028727199998684227     2500 
0.04715610000130255     4000 
0.015025200002128258     2 
4.310000076657161e-05     3 
3.5200006095692515e-05     5 
3.840000135824084e-05     7 
4.460000491235405e-05     10 
4.739999712910503e-05     12 
5.409999721450731e-05     15 
6.579999899258837e-05     20 
8.740000339457765e-05     30 
0.00010919999476755038     40 
0.00013050000416114926     50 
0.00018740000086836517     70 
0.00023890000011306256     100 
0.0003623000011430122     150 
0.0004771999956574291     200 
0.0009494999976595864     300 
0.0018444000015733764     500 
0.0029261000017868355     750 
0.008571099999244325     1000 
0.01770810000016354     1800 
0.0834610999954748     2500 
0.03717360000155168     4000 
0.020242899998265784     2 
4.8099995183292776e-05     3 
3.9000005926936865e-05     5 
9.080000018002465e-05     7 
0.00011869999434566125     10 
5.909999890718609e-05     12 
6.610000127693638e-05     15 
7.77000022935681e-05     20 
0.00010520000068936497     30 
0.00013870000111637637     40 
0.00015409999468829483     50 
0.0002286000017193146     70 
0.0007437000022036955     100 
0.0005936000015935861     150 
0.0015139999959501438     200 
0.0023981999984243885     300 
0.0018465000030118972     500 
0.007315700000617653     750 
0.009023899998283014     1000 
0.012737800003378652     1800 
0.017604400003619958     2500 
0.06208440000045812     4000 
0.04778500000247732     2 
0.00011559999984456226     3 
0.00012129999959142879     5 
0.0003485999986878596     7 
0.00014350000128615648     10 
0.00014930000179447234     12 
0.00020180000137770548     15 
0.00021240000205580145     20 
0.00028949999978067353     30 
0.0006681000013486482     40 
0.0013407000005827285     50 
0.001753099997586105     70 
0.0012117000005673617     100 
0.004106400003365707     150 
0.003980400004365947     200 
0.0054422999965026975     300 
0.016181199993297923     500 
0.013191999998525716     750 
0.003175300000293646     1000 
0.010853499996301252     1800 
0.01616190000640927     2500 
0.0884862000020803     4000 
0.010421999999380205     2 
4.67000063508749e-05     3 
3.619999915827066e-05     5 
4.0099999750964344e-05     7 
5.239999882178381e-05     10 
5.750000127591193e-05     12 
6.460000440711156e-05     15 
9.249999857274815e-05     20 
0.00011249999806750566     30 
0.000134599999000784     40 
0.0001573999979882501     50 
0.000352399998519104     70 
0.00043709999590646476     100 
0.0005546999964280985     150 
0.000687400002789218     200 
0.0010339000000385568     300 
0.00245800000266172     500 
0.0031798999989405274     750 
0.012980999999854248     1000 
0.035608600002888124     1800 
0.02494699999806471     2500 
0.029124000000592787     4000 
0.05191940000077011     2 
0.00023630000214325264     3 
0.00024449999909847975     5 
0.0005663000047206879     7 
0.00039039999683154747     10 
0.0002483000062056817     12 
0.00033510000503156334     15 
0.0005911000043852255     20 
0.000327199995808769     30 
0.0007928999984869733     40 
0.0010013999999500811     50 
0.00102119999792194     70 
0.0013213999991421588     100 
0.002780000002530869     150 
0.003190899995388463     200 
0.007775999998557381     300 
0.015667699997720774     500 
0.008331199998792727     750 
0.03556319999916013     1000 
0.00779319999855943     1800 
0.021716399998695124     2500 
0.028182800000649877     4000 
0.00870069999655243     2 
4.579999949783087e-05     3 
3.37999954354018e-05     5 
3.909999941242859e-05     7 
4.7900000936351717e-05     10 
4.980000085197389e-05     12 
5.690000398317352e-05     15 
