Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
0.00139769999998407   0.008471400000075846   2 
0.001613800000086485   0.0015857000000778498   3 
0.0011700999999675332   0.002395799999931114   5 
0.0011731999999256004   0.002919000000019878   7 
0.001154499999984182   0.002804400000059104   10 
0.0012845999999626656   0.0038036000000829517   12 
0.0012991000000965869   0.004714599999942948   15 
0.0011620999999877313   0.005119799999988572   20 
0.0011911000000282002   0.007776799999987816   30 
0.0016676999999845066   0.009994300000016665   40 
0.001232800000025236   0.012418599999932667   50 
0.0014175999999679334   0.016714699999965887   70 
0.0012621999999282707   0.02364280000006147   100 
0.0019122999999581225   0.036660500000039065   150 
0.0012825999999677151   0.05131950000009056   200 
0.0018737000000328408   0.07964459999993778   300 
0.0023869999999988067   0.14266840000004777   500 
0.0015399999999772263   0.2203826999999592   750 
0.00277419999997619   0.329039600000101   1000 
0.0025483000000576794   0.7006585000000314   1800 
0.002815499999996973   1.1708042000000205   2500 
0.001468699999918499   0.017077200000017   2 
0.0015676000000439672   0.0018384999999625506   3 
0.0011885999999776686   0.0023948000000473257   5 
0.0011451999999962936   0.0021795999999767446   7 
0.001263699999981327   0.0035809000000881497   10 
0.0012093999999933658   0.0034614999999575957   12 
0.0012851000000182466   0.0044093000000202665   15 
0.001312800000050629   0.005449399999974958   20 
0.0011798000000453612   0.00803289999998924   30 
0.0013167999999268432   0.01101589999996122   40 
0.0012720999999373817   0.015299400000003516   50 
0.0014313000000356624   0.017398599999978615   70 
0.0015819000000192318   0.025388900000052672   100 
0.0016193000000157554   0.040693099999998594   150 
0.0016621999999415493   0.0517266000000518   200 
0.0014962000000195985   0.08249439999997321   300 
0.001485699999989265   0.15833180000004177   500 
0.001446800000053372   0.21616979999998875   750 
0.002842299999997522   0.31753020000007837   1000 
0.0026406000000633867   0.7035633000000416   1800 
0.0019585999999662818   1.1366550999999845   2500 
0.0013447000000041953   0.016103199999975004   2 
0.0013390000000299551   0.0012219000000186497   3 
0.0012954000000036103   0.0016546999999036416   5 
0.0011455999999725464   0.0021299999999655483   7 
0.0011371000000508502   0.002788099999975202   10 
0.001136100000053375   0.0034097999999858075   12 
0.0011516000000710847   0.0039852000001019405   15 
0.0011948999999731313   0.005432599999949161   20 
0.0011984999999867796   0.0073874999999361535   30 
0.0011915000000044529   0.009846699999911834   40 
0.0016048999999611624   0.012931600000001708   50 
0.0014314999999669453   0.016304900000022826   70 
0.0015445999999883497   0.023801599999956125   100 
0.0015808999999080697   0.03699790000007397   150 
0.001743300000043746   0.05948440000008759   200 
0.0015359999999873253   0.07525859999998374   300 
0.0023526999999603504   0.1317244000000528   500 
0.0024632000000792686   0.25614889999997104   750 
0.0025922000000946355   0.31996749999996155   1000 
0.002258300000107738   0.7002335999999332   1800 
0.0028684000000112064   1.161815899999965   2500 
0.0016282999999930325   0.015938900000037393   2 
0.001790500000083739   0.001358499999923879   3 
0.0011733999999705702   0.0025663999999778753   5 
0.0011709000000337255   0.0029145999999400374   7 
0.0012085000000752188   0.002934999999979482   10 
0.001265099999955055   0.0037085000000161017   12 
0.0012293999999428706   0.004457600000023376   15 
0.0011471999999912441   0.005040900000039983   20 
0.0012146999999913533   0.007708999999977095   30 
0.0012674999999262582   0.01026569999999083   40 
0.002055200000086188   0.012437800000043353   50 
0.0012841999999864129   0.01710779999996248   70 
0.0012257000000772678   0.024352700000008554   100 
0.00122759999999289   0.03606339999998909   150 
0.0012556000000358836   0.05191519999993943   200 
0.0013725000000022192   0.08012689999998202   300 
