Tiempo de calculo(s)   Tamaño matriz 
0.01980850000109058     2 
4.610000178217888e-05     3 
3.579999611247331e-05     5 
4.039999475935474e-05     7 
4.990000161342323e-05     10 
5.37999949301593e-05     12 
6.150000263005495e-05     15 
8.579999848734587e-05     20 
0.00011200000153621659     30 
0.000287499999103602     40 
0.00035120000393362716     50 
0.0003730000025825575     70 
0.0004532999955699779     100 
0.0003752999982680194     150 
0.0006820999988121912     200 
0.00094600000011269     300 
0.0021338000005926006     500 
0.002769099999568425     750 
0.006397900004230905     1000 
0.0394187999991118     1800 
0.024304200000187848     2500 
0.03399129999888828     4000 
0.01796910000120988     2 
4.4200001866556704e-05     3 
4.230000195093453e-05     5 
3.459999425103888e-05     7 
4.2100000428035855e-05     10 
4.9299997044727206e-05     12 
5.2799994591623545e-05     15 
9.229999704984948e-05     20 
0.00011200000153621659     30 
0.00013720000424655154     40 
0.000302400003420189     50 
0.0003462999957264401     70 
0.0004166999933659099     100 
0.0005506000015884638     150 
0.0006839999987278134     200 
0.0009579000034136698     300 
0.0018832999994629063     500 
0.0031234999987646006     750 
0.005589899999904446     1000 
0.011158600005728658     1800 
0.015805300005013123     2500 
0.03018329999758862     4000 
0.015902899998764042     2 
4.1300001612398773e-05     3 
3.0499999411404133e-05     5 
3.410000499570742e-05     7 
4.3499996536411345e-05     10 
4.370000533526763e-05     12 
4.940000508213416e-05     15 
6.150000263005495e-05     20 
8.800000068731606e-05     30 
0.0001016000023810193     40 
0.00012419999984558672     50 
0.0001644000003580004     70 
0.00022080000053392723     100 
0.0003152999997837469     150 
0.0004268000047886744     200 
0.0009271000017179176     300 
0.0019162000025971793     500 
0.0024168000018107705     750 
0.005588200001511723     1000 
0.013845900000887923     1800 
0.04878889999963576     2500 
0.07481649999681395     4000 
0.010340599998016842     2 
4.030000127386302e-05     3 
2.769999991869554e-05     5 
3.070000093430281e-05     7 
3.650000144261867e-05     10 
4.030000127386302e-05     12 
4.6399996790569276e-05     15 
6.61999947624281e-05     20 
7.619999814778566e-05     30 
9.449999924981967e-05     40 
0.00011269999959040433     50 
0.00015390000044135377     70 
0.0003049000006285496     100 
0.00044039999920642003     150 
0.0005229000016697682     200 
0.000752499996451661     300 
0.0012676999976974912     500 
0.0046392000003834255     750 
0.004708699998445809     1000 
0.010218300005362835     1800 
0.019051300005230587     2500 
0.13515580000239424     4000 
0.017857599996204954     2 
4.949999856762588e-05     3 
3.5899996873922646e-05     5 
4.11000000895001e-05     7 
4.690000059781596e-05     10 
5.119999696034938e-05     12 
6.320000102277845e-05     15 
7.310000364668667e-05     20 
0.0001131999961216934     30 
0.0005124999952386133     40 
0.00014540000120177865     50 
0.0012977000005776063     70 
0.0009165999945253134     100 
0.0014534000001731329     150 
0.0006203999946592376     200 
0.0009143999996013008     300 
0.0020470999952522106     500 
0.0025883999987854622     750 
0.006529899997985922     1000 
0.020504399995843414     1800 
0.08882650000305148     2500 
0.07868260000395821     4000 
0.016249799999059178     2 
6.239999493118376e-05     3 
7.980000373208895e-05     5 
5.299999611452222e-05     7 
0.00010040000051958486     10 
5.539999983739108e-05     12 
5.869999586138874e-05     15 
0.00010239999392069876     20 
0.00010829999519046396     30 
0.00013010000111535192     40 
0.0002907999951275997     50 
0.0003364000003784895     70 
0.00039819999801693484     100 
0.0005114000014145859     150 
0.0006567999953404069     200 
0.0009820999985095114     300 
0.0018528000000515021     500 
0.004680300000472926     750 
0.005248900000879075     1000 
0.010179900004004594     1800 
0.052158200000121724     2500 
0.10518749999755528     4000 
0.01623420000396436     2 
4.980000085197389e-05     3 
3.6799996451009065e-05     5 
4.170000465819612e-05     7 
4.769999941345304e-05     10 
5.2100003813393414e-05     12 
5.860000237589702e-05     15 
8.53000019560568e-05     20 
0.00010740000288933516     30 
0.00012930000229971483     40 
0.00028819999715778977     50 
0.0003318999952170998     70 
0.00039770000148564577     100 
0.0005328999977791682     150 
0.0006916999991517514     200 
0.0012040000001434237     300 
0.005477699996845331     500 
0.007989400000951719     750 
0.005337900001904927     1000 
0.010554999993473757     1800 
0.05310479999752715     2500 
0.041172900004312396     4000 
0.019362200000614394     2 
4.9700000090524554e-05     3 
3.979999746661633e-05     5 
4.569999873638153e-05     7 
5.190000229049474e-05     10 
5.8099998568650335e-05     12 
6.440000288421288e-05     15 
8.019999950192869e-05     20 
0.00010019999899668619     30 
0.00012730000162264332     40 
0.0001514999967184849     50 
0.00020080000103916973     70 
0.00028020000172546133     100 
0.0003974999999627471     150 
0.0005024999991292134     200 
0.0010583999974187464     300 
0.0017239999942830764     500 
0.0028822999956901185     750 
0.004421600002388004     1000 
0.011662800003250595     1800 
0.040675599993846845     2500 
0.03288279999833321     4000 
0.01583340000070166     2 
4.44999968749471e-05     3 
3.5400000342633575e-05     5 
3.989999822806567e-05     7 
4.53000029665418e-05     10 
4.930000432068482e-05     12 
5.400000372901559e-05     15 
0.00011559999984456226     20 
0.00015410000196425244     30 
0.0002561999936006032     40 
0.00015259999781847     50 
0.0007605999999213964     70 
0.0006750999964424409     100 
0.00043649999861372635     150 
0.0005466000002343208     200 
0.0009513000040897168     300 
0.0020328000027802773     500 
0.0028311999994912185     750 
0.004956299999321345     1000 
0.012477500000386499     1800 
0.058255199997802265     2500 
0.03591710000182502     4000 
0.010066900002129842     2 
4.70000013592653e-05     3 
3.850000211969018e-05     5 
4.000000626547262e-05     7 
4.6399996790569276e-05     10 
5.179999425308779e-05     12 
5.860000237589702e-05     15 
7.18000010238029e-05     20 
0.00021850000484846532     30 
0.00027240000054007396     40 
0.00015719999646535143     50 
0.0003473999968264252     70 
0.00041449999844189733     100 
0.0005294000002322719     150 
0.0007213000062620267     200 
0.001138400002673734     300 
0.00403329999971902     500 
0.002797200002532918     750 
0.005363499993109144     1000 
0.011808800001745112     1800 
0.05287970000063069     2500 
0.020862299999862444     4000 
