Tiempo de calculo(s)   Tamaño matriz 
0.034079500001098495     2 
4.5900000259280205e-05     3 
3.460000152699649e-05     5 
3.930000093532726e-05     7 
4.7299996367655694e-05     10 
5.5800002883188426e-05     12 
6.710000161547214e-05     15 
8.019999950192869e-05     20 
0.00010659999679774046     30 
0.00018699999782256782     40 
0.00037290000182110816     50 
0.0005749000047217123     70 
0.0003188999980920926     100 
0.0005202999964240007     150 
0.0006811999992351048     200 
0.00124119999964023     300 
0.002246800002467353     500 
0.011121000003186055     750 
0.007104999996954575     1000 
0.013521100001526065     1800 
0.020093399994948413     2500 
0.11445229999662843     4000 
0.03257100000337232     2 
5.20999965374358e-05     3 
4.489999992074445e-05     5 
5.6400000175926834e-05     7 
5.869999586138874e-05     10 
6.890000076964498e-05     12 
7.660000119358301e-05     15 
9.010000212583691e-05     20 
0.00012250000145286322     30 
0.00014870000450173393     40 
0.00017970000044442713     50 
0.00024569999368395656     70 
0.0004721000004792586     100 
0.0005227000001468696     150 
0.0006829999983892776     200 
0.0022988999990047887     300 
0.0071349000063491985     500 
0.009983700001612306     750 
0.008723799997824244     1000 
0.012405599998601247     1800 
0.02159859999665059     2500 
0.04144329999689944     4000 
0.03284880000137491     2 
4.959999932907522e-05     3 
4.249999619787559e-05     5 
4.430000262800604e-05     7 
6.390000635292381e-05     10 
5.999999848427251e-05     12 
7.14999987394549e-05     15 
8.340000204043463e-05     20 
0.00024330000451300293     30 
0.0002601000014692545     40 
0.00034529999538790435     50 
0.00040190000436268747     70 
0.00047479999921051785     100 
0.0006188999977894127     150 
0.000789099998655729     200 
0.0014206000050762668     300 
0.002442700002575293     500 
0.004316799997468479     750 
0.029345499999180902     1000 
0.036813999999139924     1800 
0.019456699999864213     2500 
0.032959500000288244     4000 
0.03791329999512527     2 
0.0001390999968862161     3 
9.770000178832561e-05     5 
0.00010850000398932025     7 
0.00011819999781437218     10 
0.0005954999942332506     12 
0.0006023000023560598     15 
0.00020519999816315249     20 
0.0002673999988473952     30 
0.00034270000469405204     40 
0.0007602000041515566     50 
0.0011244999986956827     70 
0.0010244000004604459     100 
0.0019108999986201525     150 
0.0019083000006503426     200 
0.003209099995729048     300 
0.005757899998570792     500 
0.02539750000141794     750 
0.02045709999947576     1000 
0.009952699998393655     1800 
0.06396159999712836     2500 
0.043624199999612756     4000 
0.022565899998880923     2 
5.18000015290454e-05     3 
4.4500004150904715e-05     5 
4.67000063508749e-05     7 
5.609999789157882e-05     10 
6.25000029685907e-05     12 
7.110000296961516e-05     15 
8.450000314041972e-05     20 
0.0002534000013838522     30 
0.00014250000094762072     40 
0.00017469999875174835     50 
0.000229199999012053     70 
0.00030390000029001385     100 
0.00047729999641887844     150 
0.0006509000013465993     200 
0.0011148999983561225     300 
0.004546800002572127     500 
0.008115500000712927     750 
0.008477600000333041     1000 
0.05052070000238018     1800 
0.023828100005630404     2500 
0.034271099997567944     4000 
0.03973820000101114     2 
6.140000186860561e-05     3 
6.270000449148938e-05     5 
9.100000170292333e-05     7 
0.00010779999865917489     10 
0.0001371000034851022     12 
0.0001512000017100945     15 
0.0003397999971639365     20 
0.00029010000434936956     30 
0.00043849999929079786     40 
0.00036639999598264694     50 
0.0006085999993956648     70 
0.0007733999955235049     100 
0.0011305000007268973     150 
0.001452099997550249     200 
0.002146400001947768     300 
0.005158400002983399     500 
0.004629999995813705     750 
0.008629000003566034     1000 
