Tiempo de calculo(s)   Tamaño matriz 
0.017779199995857198     2 
4.400000034365803e-05     3 
5.419999797595665e-05     5 
6.84000042383559e-05     7 
8.009999874047935e-05     10 
9.14999982342124e-05     12 
0.00011320000339765102     15 
0.00015640000492567196     20 
0.00020840000070165843     30 
0.0002722999997786246     40 
0.00047700000141048804     50 
0.0005537000033655204     70 
0.0006967000008444302     100 
0.0009214999954565428     150 
0.0011661000025924295     200 
0.001636600005440414     300 
0.0017953000060515478     500 
0.003187800000887364     750 
0.004597600003762636     1000 
0.010601800000586081     1800 
0.014668200004962273     2500 
0.08807979999983218     4000 
0.016422200002125464     2 
3.5099998058285564e-05     3 
3.580000338843092e-05     5 
5.190000229049474e-05     7 
4.7900000936351717e-05     10 
5.100000271340832e-05     12 
5.6700002460274845e-05     15 
6.969999958528206e-05     20 
9.180000051856041e-05     30 
0.00013010000111535192     40 
0.00015430000348715112     50 
0.0003336000008857809     70 
0.00047400000039488077     100 
0.00037960000190651044     150 
0.0005176999984541908     200 
0.0007650999978068285     300 
0.0030340000012074597     500 
0.006957199999305885     750 
0.012073999998392537     1000 
0.050362800000584684     1800 
0.08996369999658782     2500 
0.02426319999358384     4000 
0.014271000000007916     2 
5.140000575920567e-05     3 
5.480000254465267e-05     5 
6.759999814676121e-05     7 
7.789999654050916e-05     10 
9.539999882690609e-05     12 
0.00011079999967478216     15 
0.0003219999998691492     20 
0.00022629999875789508     30 
0.0002786999975796789     40 
0.0003108000018983148     50 
0.0007459999978891574     70 
0.0007220999978017062     100 
0.0010451000052853487     150 
0.00124119999964023     200 
0.0016619000016362406     300 
0.003249399997002911     500 
0.0055624000015086494     750 
0.008148399996571243     1000 
0.021702499994717073     1800 
0.03033710000454448     2500 
0.16597680000268156     4000 
0.01742760000342969     2 
8.779999916441739e-05     3 
9.580000187270343e-05     5 
0.00010910000128205866     7 
0.00012479999713832512     10 
0.0001540000012028031     12 
0.00017780000052880496     15 
0.0002125000028172508     20 
0.0002817999993567355     30 
0.0003404000017326325     40 
0.0004394000061438419     50 
0.00103339999623131     70 
0.0016402999972342514     100 
0.002312199998414144     150 
0.004448599996976554     200 
0.006301000001258217     300 
0.008389199996599928     500 
0.014195899995684158     750 
0.02078839999740012     1000 
0.03403000000253087     1800 
0.10218639999948209     2500 
0.03664800000115065     4000 
0.013975499998196028     2 
3.070000093430281e-05     3 
3.130000550299883e-05     5 
6.38999990769662e-05     7 
4.1300001612398773e-05     10 
4.2599996959324926e-05     12 
4.859999899053946e-05     15 
6.239999493118376e-05     20 
8.789999992586672e-05     30 
0.00010349999502068385     40 
0.00013519999629352242     50 
0.00016279999545076862     70 
0.00025129999994533136     100 
0.00036579999868990853     150 
0.0006264000039664097     200 
0.0015860999992582947     300 
0.001611700005014427     500 
0.002922200001194142     750 
0.004500499999267049     1000 
0.019289700001536403     1800 
0.022579399999813177     2500 
0.03673430000344524     4000 
0.03465159999905154     2 
0.00018940000154543668     3 
0.0001764999979059212     5 
0.0003159000043524429     7 
0.0002775999964796938     10 
0.00042240000038873404     12 
0.00046660000225529075     15 
0.0005678000015905127     20 
0.0007878000033088028     30 
0.0013344999970286153     40 
0.0012234000023454428     50 
0.0016496000025654212     70 
0.0007808000009390526     100 
0.0013438999958452769     150 
0.0017777000030037016     200 
0.00509299999976065     300 
0.00744509999640286     500 
0.008955500001320615     750 
0.013688599996385165     1000 
0.027329099997587036     1800 
0.055136199996923096     2500 
0.0503136999977869     4000 
0.008631800003058743     2 
3.470000228844583e-05     3 
3.4699995012488216e-05     5 
3.840000135824084e-05     7 
6.579999899258837e-05     10 
4.810000245925039e-05     12 
6.479999865405262e-05     15 
7.899999764049426e-05     20 
9.729999874252826e-05     30 
0.00011410000297473744     40 
0.0001334000044153072     50 
0.0002921999985119328     70 
0.00035170000046491623     100 
0.0009145000003627501     150 
0.0006023000023560598     200 
0.0008766999962972477     300 
0.0014183000021148473     500 
0.0025094999946304597     750 
0.004535000000032596     1000 
0.009447299999010283     1800 
0.01456270000198856     2500 
0.023712400005024392     4000 
0.016683199995895848     2 
5.1099996198900044e-05     3 
6.130000110715628e-05     5 
5.5500000598840415e-05     7 
6.539999594679102e-05     10 
7.020000339252874e-05     12 
7.929999992484227e-05     15 
9.770000178832561e-05     20 
0.00022539999918080866     30 
0.00015040000289445743     40 
0.00020109999604756013     50 
0.00027039999986300245     70 
0.0004791999963345006     100 
0.000487299999804236     150 
0.001504499996372033     200 
0.0018394999933661893     300 
0.005580800003372133     500 
0.0060725000003003515     750 
0.004542199996649288     1000 
0.011104999997769482     1800 
0.01412240000354359     2500 
0.07572559999971418     4000 
0.025843700001132675     2 
0.00012830000196117908     3 
0.00012830000196117908     5 
0.00013600000238511711     7 
0.00013500000204658136     10 
0.00024110000231303275     12 
0.00019190000602975488     15 
0.00021019999985583127     20 
0.00027349999436410144     30 
0.0003752999982680194     40 
0.00040830000216374174     50 
0.0005993000013404526     70 
0.0010818000009749085     100 
0.0011961999989580363     150 
0.00167199999850709     200 
0.0021426000021165237     300 
0.0044056999977328815     500 
0.012294299995119218     750 
0.018514600000344217     1000 
0.06084119999286486     1800 
0.0588110999960918     2500 
0.029347299998335075     4000 
0.016303000003972556     2 
3.789999755099416e-05     3 
3.7800004065502435e-05     5 
4.230000195093453e-05     7 
4.980000085197389e-05     10 
5.539999983739108e-05     12 
7.229999755509198e-05     15 
7.159999950090423e-05     20 
0.00011420000373618677     30 
0.00018489999638404697     40 
0.00015970000094966963     50 
0.0002759000053629279     70 
0.0002651000031619333     100 
0.0003767000016523525     150 
0.0005168999996385537     200 
0.0007886999956099316     300 
0.002813300001434982     500 
0.006171499997435603     750 
0.004348299997218419     1000 
0.011464399998658337     1800 
0.01826499999879161     2500 
0.03496190000441857     4000 
