Tiempo de calculo(s)   Tamaño matriz 
0.017762199997378048     2 
3.51999988197349e-05     3 
5.3499999921768904e-05     5 
4.410000110510737e-05     7 
4.769999941345304e-05     10 
5.270000110613182e-05     12 
5.919999966863543e-05     15 
7.270000060088933e-05     20 
9.90999978967011e-05     30 
0.00014210000517778099     40 
0.0003116000007139519     50 
0.000360099998943042     70 
0.000472399995487649     100 
0.0005773999946541153     150 
0.0007153999977163039     200 
0.0010451999987708405     300 
0.0023759999967296608     500 
0.003950400001485832     750 
0.004147200001170859     1000 
0.00957870000274852     1800 
0.01966520000132732     2500 
0.0831012999988161     4000 
0.020203899999614805     2 
7.130000449251384e-05     3 
9.65999934123829e-05     5 
4.549999721348286e-05     7 
8.960000559454784e-05     10 
0.00013770000077784061     12 
0.00013020000187680125     15 
0.00021120000019436702     20 
0.00020460000087041408     30 
0.00037539999902946874     40 
0.00032579999970039353     50 
0.0006553999992320314     70 
0.0009288000001106411     100 
0.0012742999970214441     150 
0.0010934000019915402     200 
0.0029850999999325722     300 
0.005699800000002142     500 
0.0032360999975935556     750 
0.0043263000043225475     1000 
0.008842299997922964     1800 
0.02061870000034105     2500 
0.023324900001171045     4000 
0.014927099997294135     2 
3.319999814266339e-05     3 
3.579999611247331e-05     5 
7.369999366346747e-05     7 
9.929999941959977e-05     10 
6.630000279983506e-05     12 
6.350000330712646e-05     15 
7.700000423938036e-05     20 
9.980000322684646e-05     30 
0.00013449999823933467     40 
0.00020740000036312267     50 
0.00020559999393299222     70 
0.00027599999884841964     100 
0.0004034000012325123     150 
0.0005502999993041158     200 
0.0008104000007733703     300 
0.0015617999961250462     500 
0.0029816999958711676     750 
0.004337600003054831     1000 
0.01071840000076918     1800 
0.022118599998066202     2500 
0.028673600005276967     4000 
0.014467400003923103     2 
3.089999518124387e-05     3 
3.189999551977962e-05     5 
3.619999915827066e-05     7 
4.579999949783087e-05     10 
4.550000448944047e-05     12 
5.450000026030466e-05     15 
7.12000037310645e-05     20 
9.62999984039925e-05     30 
0.00013279999984661117     40 
0.00015690000145696104     50 
0.00022309999621938914     70 
0.000407300001825206     100 
0.0004241999995429069     150 
0.0005808000059914775     200 
0.0008134000017889775     300 
0.001588199993420858     500 
0.0026493999976082705     750 
0.004129799999645911     1000 
0.012899099994683638     1800 
0.023373500000161584     2500 
0.030043799997656606     4000 
0.01258330000564456     2 
2.9499999072868377e-05     3 
2.769999991869554e-05     5 
2.970000059576705e-05     7 
3.380000271135941e-05     10 
3.9699996705166996e-05     12 
4.140000237384811e-05     15 
5.450000026030466e-05     20 
7.46000005165115e-05     30 
9.160000627161935e-05     40 
0.00011190000077476725     50 
0.00023269999655894935     70 
0.0002891999974963255     100 
0.0003754999997909181     150 
0.0005213000040384941     200 
0.001498199999332428     300 
0.0012743999977828935     500 
0.0046975000004749745     750 
0.0065451999980723485     1000 
0.007453699996403884     1800 
0.013213699996413197     2500 
0.0318939999997383     4000 
0.04706590000569122     2 
8.38999985717237e-05     3 
8.920000254875049e-05     5 
0.00010029999975813553     7 
0.0001387999946018681     10 
0.0001416000013705343     12 
0.0002032999982475303     15 
0.0002151000007870607     20 
0.00026620000426191837     30 
0.0003371999991941266     40 
0.00040409999928670004     50 
0.0009363999997731298     70 
0.001110600001993589     100 
0.0013914000010117888     150 
0.0025195999987772666     200 
0.0026954999993904494     300 
0.00473039999633329     500 
0.011095499998191372     750 
0.012710399998468347     1000 
0.06681949999619974     1800 
0.05083290000038687     2500 
0.030762900001718663     4000 
0.015819300002476666     2 
3.6600002204068005e-05     3 
3.730000025825575e-05     5 
4.260000423528254e-05     7 
4.9100002797786146e-05     10 
0.00010850000398932025     12 
6.330000178422779e-05     15 
8.789999992586672e-05     20 
0.00011159999849041924     30 
0.00013300000136950985     40 
0.000320400002237875     50 
0.0003575000009732321     70 
0.00046740000107092783     100 
