Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
0.0012073999999984153   0.0003399000000001706   2 
0.0011329000000159795   0.0009273999999948046   3 
0.001115099999992708   0.00012049999997998384   5 
0.001054299999992736   0.00012759999998479543   7 
0.0013164000000074338   0.00014029999999820575   10 
0.0010683999999798743   0.0001515000000154032   12 
0.0010703000000091833   0.0001387000000079297   15 
0.0010316999999986365   0.00014930000000390464   20 
0.0010460000000023228   0.00016959999999244246   30 
0.0010711000000185322   0.00015519999999469292   40 
0.0011798000000169395   0.0007636999999931504   50 
0.0011602000000152657   0.00021419999998784078   70 
0.0011109999999803222   0.00025220000000558684   100 
0.0011575000000050295   0.00037610000001109256   150 
0.0011654999999848314   0.0003008999999849493   200 
0.0011345000000062555   0.00035510000000726905   300 
0.0011948000000074899   0.0005332000000066728   500 
0.0015937999999948715   0.000713300000001027   750 
0.002018999999990001   0.0009475000000236378   1000 
0.001994300000006888   0.0013613000000134434   1800 
0.002139099999993732   0.0022635999999920386   2500 
0.002563900000012609   0.0028887999999938074   4000 
0.0017242999999780295   0.003066200000006347   4500 
0.0019544999999823176   0.00394070000001534   5250 
0.001977100000004839   0.004579100000000835   6700 
0.0024099999999975807   0.007064200000002074   10000 
0.0103874999999789   0.037155899999987696   50000 
0.03255380000001651   0.09250040000000581   120000 
0.002533499999998412   0.0003615999999908581   2 
0.0013460999999779233   0.0001476999999852069   3 
0.0010479999999972733   0.0006730000000061409   5 
0.0010326000000020485   0.000700200000011364   7 
0.0010376000000178465   0.00015880000000834116   10 
0.001064200000001847   0.00015940000000114196   12 
0.0010685000000023592   0.0007360000000176115   15 
0.0011140000000011696   0.00015700000000151704   20 
0.0012118999999870539   0.0002619999999922129   30 
0.0010712999999782369   0.00016859999999496722   40 
0.001028800000000274   0.00017989999997780615   50 
0.0011682999999891308   0.0008126000000174827   70 
0.0011030999999945834   0.00021050000000855107   100 
0.0011264999999980319   0.0002518999999949756   150 
0.0011986000000092645   0.0009287999999969543   200 
0.0015302999999846634   0.00033849999999802094   300 
0.0015759000000059586   0.0007901000000174463   500 
0.0013688000000229295   0.0007765999999946871   750 
0.0012493000000119991   0.0010052000000086991   1000 
0.0021459999999819956   0.001410200000009354   1800 
0.0022718000000168104   0.002096500000021706   2500 
0.0019661000000041895   0.0029333000000235643   4000 
0.0016727999999943677   0.0030378000000155225   4500 
0.0018848999999931948   0.005942000000004555   5250 
0.002910599999978558   0.005762900000007676   6700 
0.003216700000024275   0.01049679999999853   10000 
0.009884999999997035   0.037576500000000124   50000 
0.02222009999999841   0.09470749999999839   120000 
0.0026507999999978438   0.0012562000000002627   2 
0.0011888999999882799   0.00014820000001236622   3 
0.0012289000000009764   0.00015609999999810498   5 
0.0010724999999922602   0.00015809999999305546   7 
0.0010326000000020485   0.000878299999982346   10 
0.0011508999999989555   0.00025650000000609907   12 
0.0011377000000152293   0.00016399999998384374   15 
0.0010324999999795637   0.00015580000001591543   20 
0.0011369999999999436   0.00016009999998800595   30 
0.0011357000000202788   0.00018769999999790343   40 
0.001041899999989937   0.00018650000001230183   50 
0.0011574000000109663   0.0002511000000140484   70 
0.0014262000000258013   0.001172599999989643   100 
