Tiempo de calculo(s)   Tamaño matriz 
0.036431000000447966     2 
3.579999611247331e-05     3 
3.560000186553225e-05     5 
4.060000355821103e-05     7 
5.8099998568650335e-05     10 
5.999999848427251e-05     12 
6.70000008540228e-05     15 
0.0001005000012810342     20 
0.00031770000350661576     30 
0.00014599999849451706     40 
0.0001562000034027733     50 
0.00032579999970039353     70 
0.00040810000064084306     100 
0.0005302999998093583     150 
0.0008948000031523407     200 
0.001255499999388121     300 
0.003979100001743063     500 
0.005657200003042817     750 
0.008122899998852517     1000 
0.0489229999948293     1800 
0.09494180000183405     2500 
0.031212099995173048     4000 
0.030729700003576     2 
3.529999958118424e-05     3 
3.2999996619764715e-05     5 
3.3299998904112726e-05     7 
5.3800002206116915e-05     10 
7.919999916339293e-05     12 
6.0200000007171184e-05     15 
5.939999391557649e-05     20 
8.459999662591144e-05     30 
9.979999595088884e-05     40 
0.0001236000025528483     50 
0.000250599994615186     70 
0.0003116000007139519     100 
0.0004079999998793937     150 
0.0007301000005099922     200 
0.0010971000010613352     300 
0.0018273999958182685     500 
0.004406899999594316     750 
0.006695899995975196     1000 
0.024508299997251015     1800 
0.016013099993870128     2500 
0.02981279999949038     4000 
0.02959259999624919     2 
3.3299998904112726e-05     3 
3.599999763537198e-05     5 
5.110000347485766e-05     7 
4.9700000090524554e-05     10 
5.539999983739108e-05     12 
6.0999998822808266e-05     15 
8.510000043315813e-05     20 
0.00011809999705292284     30 
0.00013729999773204327     40 
0.00014899999951012433     50 
0.00026839999918593094     70 
0.00027269999554846436     100 
0.00042350000148871914     150 
0.0007266000029630959     200 
0.0010712000002968125     300 
0.0031964000008883886     500 
0.004769300001498777     750 
0.006849199999123812     1000 
0.01159660000121221     1800 
0.0681544999970356     2500 
0.04583789999742294     4000 
0.028412799998477567     2 
3.120000474154949e-05     3 
3.409999771974981e-05     5 
3.710000601131469e-05     7 
4.1799998143687844e-05     10 
5.96999961999245e-05     12 
0.00018310000450583175     15 
7.609999738633633e-05     20 
9.560000034980476e-05     30 
0.00023330000112764537     40 
0.00022170000011101365     50 
0.00031200000375974923     70 
0.0003874000030918978     100 
0.0010473000002093613     150 
0.0015940999946906231     200 
0.0022049999970477074     300 
0.004088699999556411     500 
0.008295699997688644     750 
0.005612600005406421     1000 
0.01129180000134511     1800 
0.017178800000692718     2500 
0.03693999999813968     4000 
0.019291500000690576     2 
3.579999611247331e-05     3 
3.85999956051819e-05     5 
4.4200001866556704e-05     7 
9.760000102687627e-05     10 
6.949999806238338e-05     12 
6.660000508418307e-05     15 
8.060000254772604e-05     20 
0.00020939999376423657     30 
0.0001207999957841821     40 
0.00014820000069448724     50 
0.00019830000383080915     70 
0.00027090000367024913     100 
0.0004922000007354654     150 
0.0007026000021141954     200 
0.0010634999998728745     300 
0.0019535999963409267     500 
0.005371100000047591     750 
0.006137299998954404     1000 
0.020332599997345824     1800 
0.08084799999778625     2500 
0.024909300002036616     4000 
0.025455800001509488     2 
2.7099995349999517e-05     3 
4.0099999750964344e-05     5 
3.8300000596791506e-05     7 
4.02999939979054e-05     10 
5.360000068321824e-05     12 
0.0001469000053475611     15 
5.709999823011458e-05     20 
7.579999510198832e-05     30 
9.370000043418258e-05     40 
0.0001145999995060265     50 
0.00027629999385681003     70 
0.00033570000232430175     100 
0.0003836999967461452     150 
0.0006902000022819266     200 
0.0010412999981781468     300 
0.001501400001870934     500 
0.006115600001066923     750 
0.004829199999221601     1000 
0.011678599999868311     1800 
0.02391910000005737     2500 
0.033283299999311566     4000 
0.041703999995661434     2 
6.510000093840063e-05     3 
8.489999891025946e-05     5 
7.790000381646678e-05     7 
8.86999987415038e-05     10 
0.00035289999505039304     12 
0.00013810000382363796     15 
0.00037960000190651044     20 
0.0003859999997075647     30 
0.00042949999624397606     40 
0.0004847999953199178     50 
0.0005823000028613023     70 
0.0007292000009329058     100 
0.0009781999979168177     150 
0.0013932999936514534     200 
0.002367400004004594     300 
0.003655699998489581     500 
0.012144000000262167     750 
0.006849700002931058     1000 
0.019638400000985712     1800 
0.020664399999077432     2500 
0.12591120000433875     4000 
0.02862720000121044     2 
3.730000025825575e-05     3 
4.149999585933983e-05     5 
4.720000288216397e-05     7 
5.769999552285299e-05     10 
7.230000483104959e-05     12 
0.00022370000078808516     15 
9.29000016185455e-05     20 
0.00011309999536024407     30 
0.0003073999978369102     40 
0.0003062999967369251     50 
0.0003480000013951212     70 
0.00041709999641170725     100 
0.00054190000082599     150 
0.0016995999976643361     200 
0.002548900003603194     300 
0.004221899995172862     500 
0.005991999998514075     750 
0.010332199999538716     1000 
0.019404700004088227     1800 
0.02829050000582356     2500 
0.12944779999816092     4000 
0.06036809999932302     2 
9.470000077271834e-05     3 
0.00012409999908413738     5 
0.00013760000001639128     7 
0.00013840000610798597     10 
0.00019350000366102904     12 
0.00020319999748608097     15 
0.00021130000095581636     20 
0.0002899000028264709     30 
0.00036330000148154795     40 
0.0004155999995418824     50 
0.0006758000017725863     70 
0.0007840000034775585     100 
0.0012671000004047528     150 
0.002446400001645088     200 
0.0032978000017465092     300 
0.005346999998437241     500 
0.01461169999674894     750 
0.022052499996789265     1000 
