Tiempo de calculo(s)   Tamaño matriz 
0.05077019999589538     2 
0.00010779999865917489     3 
0.0001396000006934628     5 
0.00012689999857684597     7 
0.0001658000037423335     10 
0.00020080000103916973     12 
0.0001906000034068711     15 
0.0004819000023417175     20 
0.0002851999961421825     30 
0.00035660000139614567     40 
0.0005281999983708374     50 
0.000585900001169648     70 
0.0007979000001796521     100 
0.001262400000996422     150 
0.002330800001800526     200 
0.004672099996241741     300 
0.01056800000515068     500 
0.012732900002447423     750 
0.022175699996296316     1000 
0.01553829999465961     1800 
0.017188500001793727     2500 
0.033384900001692586     4000 
0.0204301999983727     2 
5.6200005928985775e-05     3 
9.010000212583691e-05     5 
5.660000169882551e-05     7 
0.00010599999950500205     10 
9.380000119563192e-05     12 
0.0002934000003733672     15 
0.0002114000017172657     20 
0.0004917999976896681     30 
0.000414699999964796     40 
0.00048299999616574496     50 
0.0007583000042359345     70 
0.0010005000003729947     100 
0.0009954000051948242     150 
0.001458200000342913     200 
0.001127199997426942     300 
0.0018788000015774742     500 
0.004543800001556519     750 
0.006625200003327336     1000 
0.014209000000846572     1800 
0.01751279999734834     2500 
0.0331854000032763     4000 
0.026533399999607354     2 
3.35000004270114e-05     3 
3.369999467395246e-05     5 
4.1300001612398773e-05     7 
4.389999958220869e-05     10 
7.429999823216349e-05     12 
6.500000017695129e-05     15 
7.130000449251384e-05     20 
9.470000077271834e-05     30 
0.00011410000297473744     40 
0.00013519999629352242     50 
0.0002891999974963255     70 
0.0002578999992692843     100 
0.0005477999948197976     150 
0.0008569999990868382     200 
0.0015513000034843571     300 
0.004037900005641859     500 
0.004791200000909157     750 
0.010090099996887147     1000 
0.01572659999510506     1800 
0.020315400004619732     2500 
0.10811239999748068     4000 
0.036194599997543264     2 
7.280000136233866e-05     3 
8.770000567892566e-05     5 
0.00023090000468073413     7 
0.0002593000026536174     10 
0.0001751000017975457     12 
0.00035150000621797517     15 
0.0002482999989297241     20 
0.00031660000240663067     30 
0.00037940000038361177     40 
0.0009506999995210208     50 
0.001032299995131325     70 
0.0008084000000962988     100 
0.0012577000015880913     150 
0.003908699996827636     200 
0.005695400002878159     300 
0.009538199999951757     500 
0.029982799998833798     750 
0.044517499998619314     1000 
0.03152869999757968     1800 
0.04691159999492811     2500 
0.02776109999831533     4000 
0.02996780000103172     2 
3.719999949680641e-05     3 
3.659999492811039e-05     5 
3.590000414988026e-05     7 
4.159999662078917e-05     10 
5.1399998483248055e-05     12 
5.950000195298344e-05     15 
7.20999960321933e-05     20 
9.14999982342124e-05     30 
0.00011630000517470762     40 
0.0002863000045181252     50 
0.0002960999991046265     70 
0.00034920000325655565     100 
0.0004616999940481037     150 
0.0008856000058585778     200 
0.0011783000009017996     300 
0.002321699997992255     500 
0.00401370000327006     750 
0.007889699998486321     1000 
0.010445699997944757     1800 
0.017837300001701806     2500 
0.024704899995413143     4000 
0.032727300000260584     2 
3.0800001695752144e-05     3 
3.669999568955973e-05     5 
4.180000541964546e-05     7 
4.739999712910503e-05     10 
6.969999958528206e-05     12 
7.719999848632142e-05     15 
9.280000085709617e-05     20 
0.00011690000246744603     30 
0.00013320000289240852     40 
0.0001548000000184402     50 
0.00033229999826289713     70 
0.00041680000140331686     100 
0.0005373000021791086     150 
0.0008891999968909658     200 
0.001333299995167181     300 
0.0019447000013315119     500 
0.004864999995334074     750 
0.006574500002898276     1000 
0.012070299999322742     1800 
0.09314989999984391     2500 
0.024968599995190743     4000 
0.03143160000036005     2 
7.580000237794593e-05     3 
7.190000178525224e-05     5 
6.800000119255856e-05     7 
8.86999987415038e-05     10 
0.00010260000271955505     12 
0.00013100000069243833     15 
0.00016950000281212851     20 
0.000207500001124572     30 
0.0002473999993526377     40 
0.00030139999580569565     50 
0.0003935999993700534     70 
0.0006902000022819266     100 
0.0008435999989160337     150 
0.0013902999999118038     200 
0.002426999999443069     300 
0.0022402000031434     500 
0.005154699996637646     750 
0.0058906999984174035     1000 
0.021418099997390527     1800 
0.02568519999476848     2500 
0.10236309999891091     4000 
0.03795459999673767     2 
0.00012430000060703605     3 
0.00011670000094454736     5 
0.00013860000035492703     7 
0.0001460999992559664     10 
0.00020509999740170315     12 
0.0008076999947661534     15 
0.0002609000002848916     20 
0.00033689999690977857     30 
0.0010018999964813702     40 
