Tiempo de calculo(s)   Tamaño matriz 
0.02529079999658279     2 
9.790000331122428e-05     3 
0.0001047000041580759     5 
0.00013600000238511711     7 
0.00014450000162469223     10 
0.00014409999857889488     12 
0.0001621000046725385     15 
0.0002539999986765906     20 
0.0003212000010535121     30 
0.0003719000014825724     40 
0.0007103999960236251     50 
0.0005788999987998977     70 
0.0008894999991753139     100 
0.001741500003845431     150 
0.0017038000005413778     200 
0.002471500003593974     300 
0.004236900000250898     500 
0.015329499998188112     750 
0.021842399997694883     1000 
0.034222100002807565     1800 
0.013103299999784213     2500 
0.029493199996068142     4000 
0.018647700002475176     2 
4.369999805931002e-05     3 
4.380000609671697e-05     5 
4.8099995183292776e-05     7 
5.339999916031957e-05     10 
5.830000009154901e-05     12 
6.86999992467463e-05     15 
0.00010960000508930534     20 
0.00012259999493835494     30 
0.00029540000105043873     40 
0.00017250000382773578     50 
0.0003972999984398484     70 
0.00045190000673756003     100 
0.0005238000012468547     150 
0.0007228000031318516     200 
0.0009175000013783574     300 
0.0015464000025531277     500 
0.0024960000009741634     750 
0.008248899997852277     1000 
0.010514800000237301     1800 
0.02884990000165999     2500 
0.028005299995129462     4000 
0.008835200002067722     2 
6.0000005760230124e-05     3 
4.430000262800604e-05     5 
4.5599997974932194e-05     7 
5.2600000344682485e-05     10 
5.94000011915341e-05     12 
6.730000313837081e-05     15 
0.0001647000026423484     20 
0.00012940000306116417     30 
0.00015269999857991934     40 
0.0006886999981361441     50 
0.00037880000309087336     70 
0.000455000001238659     100 
0.0005763000008300878     150 
0.0007180000029620714     200 
0.0010402000043541193     300 
0.0018879000053857453     500 
0.0034611000010045245     750 
0.006071900003007613     1000 
0.017878499995276798     1800 
0.05040249999728985     2500 
0.027530599996680394     4000 
0.03457669999625068     2 
0.0001033000007737428     3 
0.00010430000111227855     5 
0.00014620000001741573     7 
0.00015799999528098851     10 
0.00017269999807467684     12 
0.00026730000536190346     15 
0.0002204000047640875     20 
0.00026390000130049884     30 
0.00035460000071907416     40 
0.0004178000017418526     50 
0.0005663000047206879     70 
0.0007686999961151741     100 
0.0010997999997925945     150 
0.0015141000039875507     200 
0.002411599998595193     300 
0.004568700001982506     500 
0.007659700000658631     750 
0.020920499999192543     1000 
0.041722599999047816     1800 
0.015277099999366328     2500 
0.02567589999671327     4000 
0.020263500002329238     2 
2.8800001018680632e-05     3 
3.51999988197349e-05     5 
3.6299999919719994e-05     7 
4.269999772077426e-05     10 
5.160000000614673e-05     12 
5.339999916031957e-05     15 
0.00013330000365385786     20 
0.00010130000009667128     30 
0.00011670000094454736     40 
0.0001357000001007691     50 
0.00029200000426499173     70 
0.0004090000002179295     100 
0.00045140000293031335     150 
0.0005903999990550801     200 
0.0007280999998329207     300 
0.0014086000010138378     500 
0.002962300000945106     750 
0.004480499999772292     1000 
0.009579099998518359     1800 
0.014317399996798486     2500 
0.03357020000112243     4000 
0.01126769999973476     2 
3.290000313427299e-05     3 
3.390000347280875e-05     5 
4.6999994083307683e-05     7 
4.839999746764079e-05     10 
5.539999983739108e-05     12 
5.62999994144775e-05     15 
6.929999653948471e-05     20 
9.470000077271834e-05     30 
0.00011929999891435727     40 
0.00022600000374950469     50 
0.00019629999587778002     70 
0.0003023000026587397     100 
0.0003940999959013425     150 
0.0005418999935500324     200 
0.0008596000043326057     300 
0.0016298000045935623     500 
0.0029910000012023374     750 
0.007385699995211326     1000 
0.012634200000320561     1800 
0.04297329999826616     2500 
0.027227599995967466     4000 
0.012209699998493306     2 
3.380000271135941e-05     3 
2.4900000425986946e-05     5 
2.6699999580159783e-05     7 
4.150000313529745e-05     10 
4.369999805931002e-05     12 
4.180000541964546e-05     15 
5.520000559045002e-05     20 
7.229999755509198e-05     30 
9.130000398727134e-05     40 
0.00011110000195913017     50 
0.00014490000467048958     70 
0.0002890999967348762     100 
0.000425900005211588     150 
0.0005277000018395483     200 
0.0007104000032995827     300 
0.0014090999975451268     500 
0.0020326000012573786     750 
0.0033346999989589676     1000 
0.014738699996087234     1800 
0.016553000001295004     2500 
0.02499809999426361     4000 
0.01696050000464311     2 
3.429999924264848e-05     3 
3.809999907389283e-05     5 
3.890000516548753e-05     7 
4.3300002289470285e-05     10 
4.720000288216397e-05     12 
5.370000144466758e-05     15 
6.640000356128439e-05     20 
8.879999950295314e-05     30 
0.00011389999417588115     40 
0.00013190000026952475     50 
0.0001781999962986447     70 
0.00024839999969117343     100 
0.0003825000021606684     150 
0.000531600002432242     200 
0.0008009000011952594     300 
0.0017222999958903529     500 
0.0029274000044097193     750 
0.004425799997989088     1000 
0.011191700003109872     1800 
0.014737800003786106     2500 
0.11804560000018682     4000 
0.011473699996713549     2 
3.18000020342879e-05     3 
3.310000465717167e-05     5 
3.7099998735357076e-05     7 
4.3300002289470285e-05     10 
5.059999966761097e-05     12 
5.419999797595665e-05     15 
6.859999848529696e-05     20 
9.339999814983457e-05     30 
0.00011549999908311293     40 
0.00019780000002356246     50 
0.0001846999948611483     70 
0.0002640000020619482     100 
0.00044550000166054815     150 
0.0006204999954206869     200 
0.0009464000031584874     300 
0.002063399995677173     500 
0.003093100000114646     750 
0.007124099996872246     1000 
0.04364480000367621     1800 
0.045025100000202656     2500 
0.02424070000415668     4000 
0.015156299996306188     2 
3.380000271135941e-05     3 
3.37999954354018e-05     5 
3.840000135824084e-05     7 
4.3000000005122274e-05     10 
4.5900000259280205e-05     12 
5.2900002629030496e-05     15 
6.890000076964498e-05     20 
8.620000153314322e-05     30 
0.00010550000297371298     40 
0.0001269999993382953     50 
0.00017159999697469175     70 
0.00032809999538585544     100 
0.0011739999972633086     150 
0.00044579999666893855     200 
0.0008456000068690628     300 
0.0012150999973528087     500 
0.006112600000051316     750 
0.006182899996929336     1000 
0.011041099998692516     1800 
0.014584000004106201     2500 
0.02614049999829149     4000 
