Tiempo de calculo(s)   Tamaño matriz 
0.02962689999549184     2 
4.320000152802095e-05     3 
3.9000005926936865e-05     5 
4.079999780515209e-05     7 
4.7599998652003706e-05     10 
5.6899996707215905e-05     12 
6.44999963697046e-05     15 
8.140000136336312e-05     20 
9.809999755816534e-05     30 
0.00013380000018514693     40 
0.00014459999511018395     50 
0.00023569999757455662     70 
0.0011670999956550077     100 
0.0009482000023126602     150 
0.0016178000005311333     200 
0.0024046000035014004     300 
0.004925699999148492     500 
0.009463299997150898     750 
0.005609100000583567     1000 
0.01617919999989681     1800 
0.05949770000006538     2500 
0.03592260000004899     4000 
0.05520310000429163     2 
0.0001049999991664663     3 
0.00017890000162879005     5 
0.00014579999697161838     7 
0.00016479999612784013     10 
0.00020770000264747068     12 
0.00036420000105863437     15 
0.0002747999969869852     20 
0.00032310000096913427     30 
0.0006626999966101721     40 
0.0009456000043428503     50 
0.0002787000048556365     70 
0.0003494000047794543     100 
0.0008432000031461939     150 
0.0005354999957489781     200 
0.002021000000240747     300 
0.0017501000038464554     500 
0.006627299997489899     750 
0.004621399995812681     1000 
0.009220299994922243     1800 
0.02732599999580998     2500 
0.037996700004441664     4000 
0.026831799994397443     2 
2.61999957729131e-05     3 
2.5499997718725353e-05     5 
2.9199996788520366e-05     7 
3.489999653538689e-05     10 
4.549999721348286e-05     12 
5.100000271340832e-05     15 
0.00016229999891947955     20 
0.00018290000298293307     30 
0.00011550000635907054     40 
0.00011940000695176423     50 
0.00025319999986095354     70 
0.0002993000016431324     100 
0.00044750000233761966     150 
0.0005356999972718768     200 
0.0010891000056290068     300 
0.0017604000022402033     500 
0.00430439999763621     750 
0.007869599998230115     1000 
0.013120299998263363     1800 
0.023250500002177432     2500 
0.030363999998371582     4000 
0.030690799998410512     2 
3.290000313427299e-05     3 
4.320000152802095e-05     5 
4.230000195093453e-05     7 
4.7100002120714635e-05     10 
6.589999975403771e-05     12 
7.370000093942508e-05     15 
8.38999985717237e-05     20 
0.00010620000102790073     30 
0.00034410000080242753     40 
0.00013140000373823568     50 
0.0007239999977173284     70 
0.00033629999961704016     100 
0.0006040999942342751     150 
0.0012281000017537735     200 
0.0019041999985347502     300 
0.001754000004439149     500 
0.006420400000934023     750 
0.006906099995831028     1000 
0.019831899997370783     1800 
0.01901220000581816     2500 
0.07375229999888688     4000 
0.03387129999464378     2 
3.6600002204068005e-05     3 
3.0399998649954796e-05     5 
4.4200001866556704e-05     7 
4.320000152802095e-05     10 
5.0900001951958984e-05     12 
5.890000466024503e-05     15 
7.309999637072906e-05     20 
9.529999806545675e-05     30 
0.00011729999823728576     40 
0.0003312999979243614     50 
0.00031579999631503597     70 
0.0003654999964055605     100 
0.0005541999998968095     150 
0.0006341000043903477     200 
0.0012243000019225292     300 
0.00208609999390319     500 
0.02104719999624649     750 
0.027296000000205822     1000 
0.042051100004755426     1800 
0.04832220000389498     2500 
0.027011799997126218     4000 
0.024105600001348648     2 
3.460000152699649e-05     3 
2.680000034160912e-05     5 
2.769999991869554e-05     7 
3.270000161137432e-05     10 
4.030000127386302e-05     12 
4.890000127488747e-05     15 
0.0003352000057930127     20 
8.130000060191378e-05     30 
0.00027010000485461205     40 
0.00016390000382671133     50 
0.0005573000016738661     70 
0.00029680000443477184     100 
0.00043120000191265717     150 
0.001050599996233359     200 
0.001255199997103773     300 
0.0016398000007029623     500 
0.003551599998900201     750 
0.0070731000014347956     1000 
0.00991480000084266     1800 
0.019112200003291946     2500 
0.055523700000776444     4000 
0.025311700002930593     2 
2.8800001018680632e-05     3 
