Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
0.012238999999681255   64   2 
0.00037570000131381676   144   3 
0.0002494000000297092   400   5 
0.00020880000010947697   784   7 
0.00020289999883971177   1600   10 
0.0002046999979938846   2304   12 
0.00020570000197039917   3600   15 
0.00022029999672668055   6400   20 
0.00022929999977350235   14400   30 
0.000374399998690933   25600   40 
0.0007412999984808266   40000   50 
0.0011191000012331642   78400   70 
0.0013576999990618788   160000   100 
0.0028100000017730054   360000   150 
0.0034360999998170882   640000   200 
0.007340800002566539   1440000   300 
0.02561280000008992   4000000   500 
0.087737300000299   9000000   750 
0.1896482999982254   16000000   1000 
0.8447560000022349   51840000   1800 
3.9980528999985836   100000000   2500 
10.477721699997346   256000000   4000 
0.03851749999739695   64   2 
0.0002852000034181401   144   3 
0.0003532999980961904   400   5 
0.0003652000013971701   784   7 
0.0003654000029200688   1600   10 
0.00035659999775816686   2304   12 
0.00033990000156336464   3600   15 
0.00036330000148154795   6400   20 
0.0004138000003877096   14400   30 
0.0008742999998503365   25600   40 
0.0007550999980594497   40000   50 
0.0015607999994244892   78400   70 
0.001989699998375727   160000   100 
0.0032387999999627937   360000   150 
0.005498099999385886   640000   200 
0.011587400000280468   1440000   300 
0.036569299998518545   4000000   500 
0.12168389999715146   9000000   750 
0.22188939999978174   16000000   1000 
0.9654750999980024   51840000   1800 
3.7642393999994965   100000000   2500 
14.850913900001615   256000000   4000 
0.026031800000055227   64   2 
0.0003834999988612253   144   3 
0.0002876999969885219   400   5 
0.0002976000032504089   784   7 
0.00028340000062598847   1600   10 
0.00028839999868068844   2304   12 
0.00028959999690414406   3600   15 
0.00030469999910565093   6400   20 
0.00040439999793306924   14400   30 
0.0005501999985426664   25600   40 
0.0008978000005299691   40000   50 
0.0011875999989570118   78400   70 
0.0018301000018254854   160000   100 
0.0027511999978742097   360000   150 
0.0034253000012540724   640000   200 
0.00869819999934407   1440000   300 
0.02823799999896437   4000000   500 
0.10687640000105603   9000000   750 
0.22096569999848725   16000000   1000 
0.8830487999985053   51840000   1800 
3.840776299999561   100000000   2500 
11.233431600001495   256000000   4000 
0.03606639999998151   64   2 
0.0003001000004587695   144   3 
0.00023670000155107118   400   5 
0.00022019999960321002   784   7 
0.0005047999984526541   1600   10 
0.0005063999997219071   2304   12 
0.0002991999972437043   3600   15 
0.0003947000004700385   6400   20 
0.0003892999993695412   14400   30 
0.0009946999998646788   25600   40 
0.001351399998384295   40000   50 
0.00170330000037211   78400   70 
0.001881399999547284   160000   100 
0.003168100000038976   360000   150 
0.005298200001561781   640000   200 
0.011732900002243696   1440000   300 
0.035727399997995235   4000000   500 
0.1309958000019833   9000000   750 
0.2364832999992359   16000000   1000 
1.24708069999906   51840000   1800 
3.391747400000895   100000000   2500 
14.840982999998232   256000000   4000 
0.03144890000112355   64   2 
0.00028220000240253285   144   3 
0.00020940000104019418   400   5 
0.00019859999883919954   784   7 
0.00020189999850117601   1600   10 
0.00023389999842038378   2304   12 
0.00022460000036517158   3600   15 
0.0002808999997796491   6400   20 
0.0004904999987047631   14400   30 
0.0004604999994626269   25600   40 
0.0005804000029456802   40000   50 
0.0009310999994340818   78400   70 
0.001207000001159031   160000   100 
0.0022711000019626226   360000   150 
0.003969500001403503   640000   200 
0.009428100001969142   1440000   300 
0.035061799997492926   4000000   500 
0.1136834999997518   9000000   750 
0.224492299999838   16000000   1000 
0.9094844000028388   51840000   1800 
4.014366700001119   100000000   2500 
15.367403000000195   256000000   4000 
0.03957720000107656   64   2 
0.0003200000028300565   144   3 
0.00028059999749530107   400   5 
0.0002792000013869256   784   7 
0.0003414999991946388   1600   10 
0.0006747000006726012   2304   12 
0.0002930999980890192   3600   15 
0.00034700000105658546   6400   20 
0.0003584000005503185   14400   30 
0.0007503000015276484   25600   40 
0.0008164999999280553   40000   50 
0.0011392999986128416   78400   70 
0.001766099998349091   160000   100 
0.0038906000008864794   360000   150 
0.004308799998398172   640000   200 
0.012218400002893759   1440000   300 
0.04492069999832893   4000000   500 
0.18461939999906463   9000000   750 
0.33647130000099423   16000000   1000 
1.880678399997123   51840000   1800 
2.78311659999963   100000000   2500 
12.99334380000073   256000000   4000 
0.09023320000051172   64   2 
0.0023785999983374495   144   3 
0.0011726999982784037   400   5 
0.0014020000016898848   784   7 
0.0010991999988618772   1600   10 
0.0015717999995104037   2304   12 
0.0008223000004363712   3600   15 
0.002417699997749878   6400   20 
0.001049599999532802   14400   30 
0.002917699999670731   25600   40 
0.003959400000894675   40000   50 
0.008108700003504055   78400   70 
0.009628800002246862   160000   100 
0.015128200000617653   360000   150 
0.018584600002213847   640000   200 
0.04647359999944456   1440000   300 
0.1090492000002996   4000000   500 
0.2953172999987146   9000000   750 
0.19838919999892823   16000000   1000 
1.4075522999992245   51840000   1800 
4.195257800001855   100000000   2500 
11.85180400000172   256000000   4000 
0.0411552000005031   64   2 
0.00029319999885046855   144   3 
0.0002882000007957686   400   5 
0.000234499999351101   784   7 
0.0002172999993490521   1600   10 
0.00035229999775765464   2304   12 
0.00034949999826494604   3600   15 
0.00036890000046696514   6400   20 
0.0007446999989042524   14400   30 
0.0008807000012893695   25600   40 
0.0009845999993558507   40000   50 
0.0014641000016126782   78400   70 
0.0017489999991084915   160000   100 
0.003311799999210052   360000   150 
0.00526729999910458   640000   200 
0.012341599998762831   1440000   300 
0.03648859999884735   4000000   500 
0.1388236999991932   9000000   750 
0.6148973999988812   16000000   1000 
2.105516899999202   51840000   1800 
2.212230899996939   100000000   2500 
12.82538360000035   256000000   4000 
0.06702679999943939   64   2 
0.0008989000016299542   144   3 
0.0004399999997986015   400   5 
0.0006193000008352101   784   7 
0.0009494000005361158   1600   10 
0.000943299997743452   2304   12 
0.0009279000005335547   3600   15 
0.0010237000024062581   6400   20 
0.0011594999996304978   14400   30 
0.0025736999996297527   25600   40 
0.003226500000891974   40000   50 
0.006826199998613447   78400   70 
0.008304099999804748   160000   100 
0.00965609999911976   360000   150 
0.01243370000156574   640000   200 
0.035067000000708504   1440000   300 
0.10943580000093789   4000000   500 
0.08437489999778336   9000000   750 
0.20680759999959264   16000000   1000 
1.0189821999993   51840000   1800 
4.4544987000008405   100000000   2500 
12.279835099998309   256000000   4000 
0.11159279999992577   64   2 
0.0051050000001851   144   3 
0.0012582999988808297   400   5 
0.0011607999986154027   784   7 
0.002438100000290433   1600   10 
0.001160100000561215   2304   12 
0.0011033000009774696   3600   15 
0.0013772999991488177   6400   20 
0.0022906999984115828   14400   30 
0.0028074000001652166   25600   40 
0.003142099998513004   40000   50 
0.005101999999169493   78400   70 
0.0076110000009066425   160000   100 
0.010349899999710033   360000   150 
0.013993599997775164   640000   200 
0.03529530000014347   1440000   300 
0.10612620000028983   4000000   500 
0.6695118999996339   9000000   750 
1.1853579999988142   16000000   1000 
1.0867332999987411   51840000   1800 
3.894805299998552   100000000   2500 
11.410757800000283   256000000   4000 
