Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
0.013050000001385342   64   2 
0.00048469999819644727   144   3 
0.0004906000031041913   400   5 
0.0002882999979192391   784   7 
0.0002623999971547164   1600   10 
0.00025829999867710285   2304   12 
0.0002521999995224178   3600   15 
0.0002851999997801613   6400   20 
0.00024000000121304765   14400   30 
0.00046579999980167486   25600   40 
0.0007893000001786277   40000   50 
0.0012993999989703298   78400   70 
0.001479400001699105   160000   100 
0.0026005999970948324   360000   150 
0.0033441999985370785   640000   200 
0.007388500001979992   1440000   300 
0.02541219999693567   4000000   500 
0.08403849999740487   9000000   750 
0.1631292999991274   16000000   1000 
0.6999871000007261   51840000   1800 
1.5462133000000904   100000000   2500 
9.732874699999229   256000000   4000 
0.02576930000213906   64   2 
0.0001900000024761539   144   3 
0.00011389999781385995   400   5 
0.00011509999967529438   784   7 
0.00011689999882946722   1600   10 
0.00011779999840655364   2304   12 
0.00011980000272160396   3600   15 
0.00017209999714395963   6400   20 
0.00017039999875123613   14400   30 
0.000528900000063004   25600   40 
0.0005471999975270592   40000   50 
0.0008319999978994019   78400   70 
0.0013000000035390258   160000   100 
0.0025585000003047753   360000   150 
0.0036784000003535766   640000   200 
0.008152200000040466   1440000   300 
0.030798499999946216   4000000   500 
0.09278169999743113   9000000   750 
0.20134500000131084   16000000   1000 
0.7883830999999191   51840000   1800 
3.4428779000008944   100000000   2500 
7.7277339000029315   256000000   4000 
0.028880000001663575   64   2 
0.0003692999998747837   144   3 
0.00034529999902588315   400   5 
0.00026839999918593094   784   7 
0.00025380000079167075   1600   10 
0.0002525000018067658   2304   12 
0.0002848999974958133   3600   15 
0.00041960000089602545   6400   20 
0.00040979999903356656   14400   30 
0.0005909999999857973   25600   40 
0.0009422000002814457   40000   50 
0.0012642000001505949   78400   70 
0.0013336000010895077   160000   100 
0.0025812999992922414   360000   150 
0.0031975999991118442   640000   200 
0.008943200002249796   1440000   300 
0.03536470000108238   4000000   500 
0.10456580000027316   9000000   750 
0.20675960000153282   16000000   1000 
2.215828500000498   51840000   1800 
1.8287830000008398   100000000   2500 
9.592552299996896   256000000   4000 
0.024477199996908894   64   2 
0.00019279999833088368   144   3 
0.00011620000077527948   400   5 
0.00012629999764612876   784   7 
0.00011999999696854502   1600   10 
0.00012079999942216091   2304   12 
0.00012319999950705096   3600   15 
0.00021490000290214084   6400   20 
0.00033650000113993883   14400   30 
0.0005240999998932239   25600   40 
0.0007526000008510891   40000   50 
0.0010397000005468726   78400   70 
0.0013840999999956694   160000   100 
0.002470700001140358   360000   150 
0.003632700001617195   640000   200 
0.010245099998428486   1440000   300 
0.034433199998602504   4000000   500 
0.10472309999749996   9000000   750 
0.20572960000208695   16000000   1000 
0.8711392999975942   51840000   1800 
3.3318514000020514   100000000   2500 
9.98692000000301   256000000   4000 
0.01423380000051111   64   2 
0.00019040000188397244   144   3 
0.00011279999671387486   400   5 
0.00011900000026798807   784   7 
0.0002466000005370006   1600   10 
0.0002767000005405862   2304   12 
0.00013169999874662608   3600   15 
0.00017440000010537915   6400   20 
0.00016990000221994705   14400   30 
0.0002932999996119179   25600   40 
0.0004726000006485265   40000   50 
0.0007336999988183379   78400   70 
0.0009700000009615906   160000   100 
0.002164900000934722   360000   150 
0.002739399998972658   640000   200 
0.007252799998241244   1440000   300 
0.03037689999837312   4000000   500 
0.09414769999784767   9000000   750 
0.2033579999988433   16000000   1000 
0.8367634000023827   51840000   1800 
3.2874424000001454   100000000   2500 
8.773951499999384   256000000   4000 
0.07634459999826504   64   2 
0.0005357000009098556   144   3 
0.0006802000025345478   400   5 
0.0006632000004174188   784   7 
0.00045930000123917125   1600   10 
0.0005577999982051551   2304   12 
0.0005047000013291836   3600   15 
0.0011077000017394312   6400   20 
0.000915300002816366   14400   30 
0.0012564000026031863   25600   40 
0.002691699999559205   40000   50 
0.004586300001392374   78400   70 
0.006061299998691538   160000   100 
0.007992500002728775   360000   150 
0.011844599997857586   640000   200 
0.02644250000230386   1440000   300 
0.08906470000147237   4000000   500 
0.29224499999691034   9000000   750 
0.4972404000000097   16000000   1000 
1.0687913000001572   51840000   1800 
1.9001210999995237   100000000   2500 
10.029094299999997   256000000   4000 
0.018631199996889336   64   2 
0.00021320000087143853   144   3 
0.00016110000069602393   400   5 
0.00013220000255387276   784   7 
0.00013419999959296547   1600   10 
0.0001692000005277805   2304   12 
0.0001384999995934777   3600   15 
0.0002449000021442771   6400   20 
0.0003811000024143141   14400   30 
0.0005963000003248453   25600   40 
0.0008709000030648895   40000   50 
0.0014502000012726057   78400   70 
0.0014991999996709637   160000   100 
0.002851999997801613   360000   150 
0.003441900000325404   640000   200 
0.009578099998179823   1440000   300 
0.03469790000235662   4000000   500 
0.10459909999917727   9000000   750 
0.5573547999993025   16000000   1000 
2.051567399998021   51840000   1800 
1.818423000000621   100000000   2500 
10.002021899999818   256000000   4000 
0.02312069999970845   64   2 
0.00020909999875584617   144   3 
0.0001404999966325704   400   5 
0.0001357000001007691   784   7 
0.0001460999992559664   1600   10 
0.00013870000111637637   2304   12 
