Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
0.024575100000220118   24   2 
0.00022879999960423447   54   3 
0.00011639999866019934   150   5 
0.00011830000221380033   294   7 
0.00030359999800566584   600   10 
0.00024390000180574134   864   12 
0.00028310000197961926   1350   15 
0.00041739999869605526   2400   20 
0.0002672000009624753   5400   30 
0.0004614000026776921   9600   40 
0.0007536999983130954   15000   50 
0.0010249000006297138   29400   70 
0.0013560999977926258   60000   100 
0.0020430999975360464   135000   150 
0.003011799999512732   240000   200 
0.0060864999977638945   540000   300 
0.018573400000605034   1500000   500 
0.05047680000279797   3375000   750 
0.09069480000107433   6000000   1000 
0.4383981999999378   19440000   1800 
0.968581200002518   37500000   2500 
4.597043499998108   96000000   4000 
0.014392000000952976   24   2 
0.00022340000214171596   54   3 
0.0004774000008183066   150   5 
0.0005029999992984813   294   7 
0.0004415000003064051   600   10 
0.00044329999946057796   864   12 
0.00032020000071497634   1350   15 
0.0003291000030003488   2400   20 
0.0004762999997183215   5400   30 
0.0005944000004092231   9600   40 
0.0008397000019613188   15000   50 
0.001034999997500563   29400   70 
0.0016112999983306509   60000   100 
0.0023834000021452084   135000   150 
0.0033890000013343524   240000   200 
0.0066466999996919185   540000   300 
0.01901929999803542   1500000   500 
0.059186899998167064   3375000   750 
0.10240179999891552   6000000   1000 
0.4807561000015994   19440000   1800 
0.9968216999986907   37500000   2500 
5.018143100001907   96000000   4000 
0.008712899998499779   24   2 
0.00020349999977042899   54   3 
0.00032250000003841706   150   5 
0.0003012000015587546   294   7 
0.0002983999984280672   600   10 
0.0002978999982587993   864   12 
0.00019149999934597872   1350   15 
0.00033289999919361435   2400   20 
0.0003894000001309905   5400   30 
0.0006796000016038306   9600   40 
0.0008123000006889924   15000   50 
0.001214700001582969   29400   70 
0.001390900000842521   60000   100 
0.0021481000003404915   135000   150 
0.0031880999995337334   240000   200 
0.0065407000001869164   540000   300 
0.02086539999800152   1500000   500 
0.061990800000785384   3375000   750 
0.33038370000213035   6000000   1000 
1.2491417999990517   19440000   1800 
1.5388215999992099   37500000   2500 
4.942812299999787   96000000   4000 
0.014594800002669217   24   2 
0.0003710999990289565   54   3 
0.0002992999980051536   150   5 
0.0002946999993582722   294   7 
0.0002955999989353586   600   10 
0.0002955999989353586   864   12 
0.0003001000004587695   1350   15 
0.00027260000206297264   2400   20 
0.0004597000006469898   5400   30 
0.0006795000008423813   9600   40 
0.000809000001027016   15000   50 
0.0010011999984271824   29400   70 
0.0014941000008548144   60000   100 
0.0021856999992451165   135000   150 
0.0029035000006842893   240000   200 
0.0064624999977240805   540000   300 
0.01841029999923194   1500000   500 
0.06012899999768706   3375000   750 
0.1157932999994955   6000000   1000 
0.8191885999985971   19440000   1800 
1.3475730999998632   37500000   2500 
4.632046199996694   96000000   4000 
0.017024700002366444   24   2 
0.00023080000028130598   54   3 
0.00015219999841065146   150   5 
0.00015350000103353523   294   7 
0.0001540000012028031   600   10 
0.0001596000001882203   864   12 
0.0003414999991946388   1350   15 
0.0005286999985401053   2400   20 
0.0007065999998303596   5400   30 
0.0006697999997413717   9600   40 
0.000927699999010656   15000   50 
0.0014281000003393274   29400   70 
0.0015257999984896742   60000   100 
0.0025624999980209395   135000   150 
0.0038710000007995404   240000   200 
0.007017500000074506   540000   300 
0.02021930000046268   1500000   500 
0.07651740000073914   3375000   750 
0.31725699999879   6000000   1000 
1.417618900002708   19440000   1800 
1.9185254000003624   37500000   2500 
5.282849200000783   96000000   4000 
0.017383000002155313   24   2 
0.00046629999997094274   54   3 
0.0003876000009768177   150   5 
0.00038609999683103524   294   7 
0.00044189999971422367   600   10 
0.0005340999996406026   864   12 
0.0004054000019095838   1350   15 
0.000456300000223564   2400   20 
0.0005636999994749203   5400   30 
0.000698800002282951   9600   40 
0.0009788999996089842   15000   50 
0.001473600001190789   29400   70 
0.0016699999978300184   60000   100 
0.002575400001660455   135000   150 
0.003957199998694705   240000   200 
0.008622600002127001   540000   300 
0.022057599999243394   1500000   500 
0.06940510000276845   3375000   750 
0.11356449999948381   6000000   1000 
0.5453211000021838   19440000   1800 
3.370986800000537   37500000   2500 
5.004375799999252   96000000   4000 
0.014489000001049135   24   2 
0.0002043999993475154   54   3 
0.00012630000128410757   150   5 
0.00012600000263773836   294   7 
0.00012309999874560162   600   10 
0.00022840000019641593   864   12 
0.00015129999883356504   1350   15 
0.00016970000069704838   2400   20 
0.0001816000003600493   5400   30 
0.0002905000001192093   9600   40 
0.0007906000028015114   15000   50 
0.0010177000003750436   29400   70 
0.0012659999993047677   60000   100 
0.001941800001077354   135000   150 
0.0029953000012028497   240000   200 
0.005882600002223626   540000   300 
0.02168579999852227   1500000   500 
0.05798060000233818   3375000   750 
0.11197320000064792   6000000   1000 
0.5080148999986704   19440000   1800 
1.1015819999993255   37500000   2500 
7.126097399999708   96000000   4000 
0.03739029999997001   24   2 
0.000561999997444218   54   3 
0.00045059999683871865   150   5 
0.0005999000022711698   294   7 
0.0004483999982767273   600   10 
0.00044349999734549783   864   12 
