Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
0.01271430000269902   32   2 
0.0002590000003692694   72   3 
0.00015039999925647862   200   5 
0.00036859999818261713   392   7 
0.00036380000165081583   800   10 
0.00023409999994328246   1152   12 
0.0003039999974134844   1800   15 
0.0003481999992800411   3200   20 
0.0003508000008878298   7200   30 
0.0003782999992836267   12800   40 
0.0006410999994841404   20000   50 
0.0011435999986133538   39200   70 
0.001333899999735877   80000   100 
0.0018387999989499804   180000   150 
0.002532200000132434   320000   200 
0.005749399999331217   720000   300 
0.0173376000020653   2000000   500 
0.04868470000292291   4500000   750 
0.09042849999968894   8000000   1000 
0.4444851000007475   25920000   1800 
0.9333613000017067   50000000   2500 
4.799901600003068   128000000   4000 
0.012483599999541184   32   2 
0.0002069000001938548   72   3 
0.0002789999998640269   200   5 
0.0003131000012217555   392   7 
0.00031069999749888666   800   10 
0.00034809999851859175   1152   12 
0.0003819999983534217   1800   15 
0.0003469000002951361   3200   20 
0.0003724999987753108   7200   30 
0.00047540000014123507   12800   40 
0.0007836000004317611   20000   50 
0.0009801000014704186   39200   70 
0.0014150999995763414   80000   100 
0.0019227999982831534   180000   150 
0.0029183999977249186   320000   200 
0.005990199999359902   720000   300 
0.016556099999434082   2000000   500 
0.05294859999776236   4500000   750 
0.10738820000187843   8000000   1000 
0.4720223999975133   25920000   1800 
1.963424399997166   50000000   2500 
3.85730329999933   128000000   4000 
0.028299599998717895   32   2 
0.000846099999762373   72   3 
0.0008414000003540423   200   5 
0.0006019000029482413   392   7 
0.0007994999978109263   800   10 
0.0004560000015771948   1152   12 
0.0004588000010699034   1800   15 
0.0005791000003227964   3200   20 
0.0006293999977060594   7200   30 
0.0010025000010500662   12800   40 
0.0016500999990967102   20000   50 
0.0024066999976639636   39200   70 
0.0032463999996252824   80000   100 
0.006844999999884749   180000   150 
0.011049000000639353   320000   200 
0.018208199999207864   720000   300 
0.06308200000057695   2000000   500 
0.17056910000246717   4500000   750 
0.3197496000029787   8000000   1000 
1.2575914999979432   25920000   1800 
0.9156259999981557   50000000   2500 
4.086740499998996   128000000   4000 
0.024933400000008987   32   2 
0.0008866999996826053   72   3 
0.000675200000841869   200   5 
0.0005483000022650231   392   7 
0.0005611999986285809   800   10 
0.001145800000813324   1152   12 
0.0018032999978458975   1800   15 
