Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
0.01247009999860893   32   2 
0.000229199999012053   72   3 
0.00019570000222302042   200   5 
0.00031519999902229756   392   7 
0.00014229999942472205   800   10 
0.00014369999917107634   1152   12 
0.00014179999925545417   1800   15 
0.00031970000054570846   3200   20 
0.0002671999973244965   7200   30 
0.0004544000003079418   12800   40 
0.0008362000007764436   20000   50 
0.0010273000007146038   39200   70 
0.0013462999995681457   80000   100 
0.0020091999977012165   180000   150 
0.002491600000212202   320000   200 
0.005721199999243254   720000   300 
0.016963500002020737   2000000   500 
0.04854739999791491   4500000   750 
0.12301619999925606   8000000   1000 
0.45895529999688733   25920000   1800 
1.1175382999972499   50000000   2500 
5.083450400001311   128000000   4000 
0.017578499999217456   32   2 
0.0004568999975163024   72   3 
0.00020770000264747068   200   5 
0.00035989999742014334   392   7 
0.0003606000027502887   800   10 
0.00044329999946057796   1152   12 
0.0003651000006357208   1800   15 
0.0003862000012304634   3200   20 
0.0004087999986950308   7200   30 
0.0005233999982010573   12800   40 
0.0008323000001837499   20000   50 
0.0010890000012295786   39200   70 
0.0014306999983091373   80000   100 
0.0021029999988968484   180000   150 
0.0024531000017304905   320000   200 
0.0062217000013333745   720000   300 
0.02134490000025835   2000000   500 
0.05934510000224691   4500000   750 
0.1151733000006061   8000000   1000 
0.48497629999837955   25920000   1800 
2.6768817999982275   50000000   2500 
5.042425200001162   128000000   4000 
0.01540469999963534   32   2 
0.00044409999827621505   72   3 
0.0003589000007195864   200   5 
0.0003572999994503334   392   7 
0.00035620000198832713   800   10 
0.0004386000000522472   1152   12 
0.00036279999767430127   1800   15 
0.00038500000300700776   3200   20 
0.0004002999994554557   7200   30 
0.0005014999987906776   12800   40 
0.0007770999982312787   20000   50 
0.000983099998848047   39200   70 
0.0012007000004814472   80000   100 
0.0019766000004892703   180000   150 
0.002492999999958556   320000   200 
0.005509499998879619   720000   300 
0.01612580000073649   2000000   500 
0.048804699999891454   4500000   750 
0.09591619999991963   8000000   1000 
0.47642930000074557   25920000   1800 
1.0576184000019566   50000000   2500 
4.897683000002871   128000000   4000 
0.020767100002558436   32   2 
0.0005080999981146306   72   3 
0.0004040000021632295   200   5 
0.00041229999987990595   392   7 
0.0004062000007252209   800   10 
0.00040579999767942354   1152   12 
0.0004112999995413702   1800   15 
0.00042050000047311187   3200   20 
0.0004893000004813075   7200   30 
0.0006423000013455749   12800   40 
0.0008527999998477753   20000   50 
0.0011618999997153878   39200   70 
0.001476000001275679   80000   100 
0.0020879000003333203   180000   150 
0.002788699999655364   320000   200 
0.007121200000256067   720000   300 
0.020968499997252366   2000000   500 
0.06319390000135172   4500000   750 
0.11696709999887389   8000000   1000 
0.4921549999999115   25920000   1800 
2.5056772000025376   50000000   2500 
4.547530899999401   128000000   4000 
0.05619280000246363   32   2 
0.0009049000000231899   72   3 
0.0006901000015204772   200   5 
0.0006410999994841404   392   7 
0.0006197999973664992   800   10 
0.0006935999990673736   1152   12 
0.0006565000003320165   1800   15 
0.0008140999998431653   3200   20 
0.0006589000004169066   7200   30 
0.0014870999984850641   12800   40 
0.002876599999581231   20000   50 
0.00392699999792967   39200   70 
0.004982099999324419   80000   100 
0.007304700000531739   180000   150 
0.008798899998510024   320000   200 
0.024534899999707704   720000   300 
0.059639099999913014   2000000   500 
0.20707319999928586   4500000   750 
0.16532440000082715   8000000   1000 
0.4571966000003158   25920000   1800 
1.086829600000783   50000000   2500 
5.074687600001198   128000000   4000 
0.02030439999725786   32   2 
0.00029370000265771523   72   3 
0.00023909999799798243   200   5 
0.00022339999850373715   392   7 
0.00022230000104173087   800   10 
0.0002556999970693141   1152   12 
0.00022680000256514177   1800   15 
0.00027829999817186035   3200   20 
0.0003839999990304932   7200   30 
0.0005282999991322868   12800   40 
0.0009121000002778601   20000   50 
0.0011550999988685362   39200   70 
0.0013526000002457295   80000   100 
0.002190100000007078   180000   150 
0.002719000000070082   320000   200 
0.007235200002469355   720000   300 
0.022238300000026356   2000000   500 
0.06381189999956405   4500000   750 
0.12050230000022566   8000000   1000 
0.5151334000001953   25920000   1800 
2.730599999998958   50000000   2500 
5.15404540000236   128000000   4000 
0.017358400000375696   32   2 
0.0002629000009619631   72   3 
0.00017979999756789766   200   5 
0.00018110000019078143   392   7 
0.00018330000239075162   800   10 
0.00017179999849759042   1152   12 
0.00013580000086221844   1800   15 
0.0001795999996829778   3200   20 
0.00033210000037797727   7200   30 
0.0004764000004797708   12800   40 
0.0007559999976365361   20000   50 
0.0009948000006261282   39200   70 
0.0013543999993999023   80000   100 
0.001934100000653416   180000   150 
0.0022976000000198837   320000   200 
0.005735899998398963   720000   300 
0.01586719999977504   2000000   500 
0.05318199999965145   4500000   750 
0.10470669999995152   8000000   1000 
0.5121820999993361   25920000   1800 
1.1073875999973097   50000000   2500 
5.169164099999762   128000000   4000 
0.02306990000215592   32   2 
0.0003229999965697061   72   3 
0.00024560000019846484   200   5 
0.00024090000079013407   392   7 
0.00023839999994379468   800   10 
0.00024309999935212545   1152   12 
0.00042409999878145754   1800   15 
0.0005608999999822117   3200   20 
0.0005065000004833564   7200   30 
0.0006138999997347128   12800   40 
0.0010099999999511056   20000   50 
0.0010624999995343387   39200   70 
0.001600199997483287   80000   100 
0.002476999998179963   180000   150 
0.0028357000010146294   320000   200 
0.006763800000044284   720000   300 
0.02031429999988177   2000000   500 
0.06560979999994743   4500000   750 
0.1213964999988093   8000000   1000 
0.9431523999992351   25920000   1800 
2.116448600001604   50000000   2500 
5.159945099996548   128000000   4000 
0.016917900000407826   32   2 
0.0002739999981713481   72   3 
0.00019720000273082405   200   5 
0.0004163999983575195   392   7 
0.00038409999979194254   800   10 
0.000382099999114871   1152   12 
0.0003862999983539339   1800   15 
0.00041280000004917383   3200   20 
0.00044630000047618523   7200   30 
0.0006861000001663342   12800   40 
0.000656100000924198   20000   50 
0.001104700000723824   39200   70 
0.0013268999973661266   80000   100 
0.001961400001164293   180000   150 
0.0027298000022710767   320000   200 
0.00645509999958449   720000   300 
0.021062100000563078   2000000   500 
0.062433600000076694   4500000   750 
0.12072219999754452   8000000   1000 
0.5219985000003362   25920000   1800 
1.069390700002259   50000000   2500 
5.179961599998933   128000000   4000 
0.0195808999997098   32   2 
0.0002772999978333246   72   3 
0.0002007000002777204   200   5 
0.00016699999832781032   392   7 
0.00014620000001741573   800   10 
0.00014799999917158857   1152   12 
0.0002989000022353139   1800   15 
0.00035680000291904435   3200   20 
0.0004043000008095987   7200   30 
0.0005243999985395931   12800   40 
0.0008251999970525503   20000   50 
0.001268500000151107   39200   70 
0.001408599997375859   80000   100 
0.002266200001031393   180000   150 
0.0033994000004895497   320000   200 
0.006809800001065014   720000   300 
0.022925000001123408   2000000   500 
0.09154920000219136   4500000   750 
0.31304399999862653   8000000   1000 
1.249355199997808   25920000   1800 
1.586219600001641   50000000   2500 
5.740757499999745   128000000   4000 
